File	GenProg Repair Status without PREP	GenProg Repair Status with PREP	Category
temp-291-A-bug-9161018-9161030	Repair Found	Repair Found	1
temp-291-B-bug-3524194-3524237	Repair Found	Repair Found	1
temp-291-B-bug-3726598-3726610	Repair Found	Repair Found	1
temp-292-B-bug-3723836-3723850	Repair Found	Repair Found	1
temp-293-A-bug-3825824-3825830	Repair Found	Repair Found	1
temp-294-A-bug-10574686-10574699	Repair Found	Repair Found	1
temp-294-A-bug-14149134-14149282	Repair Found	Repair Found	1
temp-294-A-bug-6898180-6898225	Repair Found	Repair Found	1
temp-294-A-bug-9080781-9080815	Repair Found	Repair Found	1
temp-294-B-bug-5091120-5091142	Repair Found	Repair Found	1
temp-296-A-bug-13957251-13957329	Repair Found	Repair Found	1
temp-296-A-bug-15223363-15223408	Repair Found	Repair Found	1
temp-296-A-bug-15223389-15223408	Repair Found	Repair Found	1
temp-296-A-bug-15882294-15882321	Repair Found	Repair Found	1
temp-296-A-bug-16405147-16405246	Repair Found	Repair Found	1
temp-298-A-bug-15320493-15320547	Repair Found	Repair Found	1
temp-298-B-bug-4086990-4086996	Repair Found	Repair Found	1
temp-299-A-bug-14347017-14347039	Repair Found	Repair Found	1
temp-299-A-bug-14347069-14347114	Repair Found	Repair Found	1
temp-29-B-bug-2022262-2022266	Repair Found	Repair Found	1
temp-300-A-bug-10623172-10623290	Repair Found	Repair Found	1
temp-300-B-bug-3984673-3984677	Repair Found	Repair Found	1
